task_id,Qwen3-3B-Accuracy,Qwen3-22B-Accuracy,Qwen3-35B-Accuracy
10,0,1,0
13,1,1,1
28,0,0,0
31,0,0,1
35,1,1,1
40,0,0,0
54,0,0,0
61,1,1,1
62,1,0,1
68,1,1,1
69,1,1,1
81,0,1,0
82,0,1,1
84,0,0,0
86,0,0,0
87,0,0,0
88,0,1,1
93,0,0,0
94,0,0,0
100,1,1,0
103,1,1,1
125,0,0,0
132,1,1,1
135,0,0,0
143,1,1,1
149,0,0,0
152,1,1,0
161,1,1,1
169,0,0,0
173,0,0,0
175,1,1,1
181,1,1,1
185,0,0,0
188,1,0,1
190,1,0,0
198,0,0,0
200,0,0,0
202,1,1,1
206,1,1,1
212,1,1,1
213,1,1,1
222,1,1,1
223,0,0,0
225,0,0,0
231,0,1,0
236,1,1,1
247,0,0,0
249,0,0,0
253,0,1,0
255,1,1,0
263,0,0,0
268,1,0,0
270,1,0,0
272,1,1,1
277,1,0,0
285,1,0,0
290,0,0,0
298,0,0,0
299,0,0,0
301,1,1,1
302,1,1,1
306,0,0,0
307,1,1,0
311,0,0,0
312,1,1,0
313,1,1,1
318,1,1,1
319,1,0,1
322,1,1,1
323,0,1,0
327,1,1,1
328,0,0,0
334,1,1,1
337,0,1,0
360,0,0,0
369,1,1,1
371,1,1,1
389,0,0,0
391,0,1,1
393,0,0,0
396,1,1,1
397,1,0,1
400,1,1,0
402,0,0,0
407,0,0,0
408,0,0,0
416,1,0,0
422,1,1,0
427,1,1,1
428,0,0,0
430,0,0,0
431,0,0,0
442,0,0,0
446,0,0,0
450,1,1,1
459,1,1,0
464,0,0,0
466,0,0,0
476,0,1,1
477,0,0,0
496,0,0,0
502,0,0,0
506,1,1,1
508,1,0,1
511,0,0,0
513,1,1,1
521,0,0,0
522,0,0,0
523,0,0,0
540,1,1,1
542,1,1,1
546,0,0,0
549,1,1,1
554,1,1,1
564,0,1,1
577,1,1,1
580,1,0,1
599,0,0,0
614,0,0,0
615,1,1,1
634,0,1,0
637,0,0,0
639,0,0,0
657,1,1,1
679,0,0,0
683,0,0,0
695,1,1,1
697,1,0,1
701,1,1,1
713,1,1,1
722,1,1,1
723,1,1,1
725,1,1,1
730,1,1,1
732,0,0,0
742,1,1,1
743,0,0,0
744,0,1,0
748,1,1,1
753,1,1,1
756,1,0,1
761,1,1,1
766,0,0,0
772,0,0,0
773,1,1,1
775,1,1,1
799,1,1,1
809,1,1,1
814,0,0,1
818,1,1,1
819,1,1,1
822,1,1,1
829,0,1,0
831,1,1,1
834,1,1,1
835,1,1,1
841,1,1,1
844,1,1,1
858,1,1,1
873,1,1,1
878,1,1,0
894,0,0,0
896,0,0,0
899,1,1,1
900,1,1,1
902,0,0,0
906,1,1,1
929,0,0,1
943,0,1,0
950,0,0,0
953,0,0,1
958,0,0,0
962,1,0,0
970,0,0,0
994,0,0,0
998,0,0,0
1001,1,0,0
1004,0,0,0
1028,0,0,0
1036,1,0,0
1037,1,1,0
1041,0,0,0
1045,0,0,0
1047,1,1,1
1071,0,0,0
1076,1,1,0
1093,0,0,0
1095,1,1,1
1098,1,1,1
1101,1,1,1
1103,1,1,1
1104,1,1,1
1106,1,1,1
1112,1,1,1
1114,1,1,1
1115,0,0,0
1121,0,0,0
1125,1,1,1
1127,0,0,0
1129,1,0,0
1131,0,0,0
1133,1,1,0
1134,1,1,1
1145,1,1,1
1146,0,1,1
1152,0,0,0
1153,1,0,1
1157,1,0,1
1158,0,0,0
1161,0,1,1
1162,1,1,1
1164,1,1,1
1167,1,0,0
1168,0,0,0
1169,1,1,1
1170,0,0,0
1171,0,1,0
1182,0,1,1
1183,1,1,1
1190,1,1,0
1191,1,1,1
1192,1,1,1
1194,1,1,1
1197,0,0,0
1200,0,1,0
1202,0,0,1
1221,0,0,0
1223,0,0,0
1225,0,0,0
1229,1,1,1
1231,1,1,1
1232,0,1,0
1236,0,1,1
1239,0,1,0
1240,1,1,1
1241,0,0,0
1242,0,0,0
1243,0,0,0
1247,0,0,0
1252,0,1,0
1257,0,0,1
1264,0,0,1
1270,0,0,1
1274,0,0,0
1289,1,1,0
1291,1,0,0
1292,0,0,0
1295,1,1,0
1302,0,0,0
1307,1,1,1
1313,1,1,1
1314,0,0,0
1316,0,1,1
1327,0,1,1
1339,1,1,1
1359,1,0,1
1361,1,1,1
1363,0,0,0
1375,1,1,1
1388,0,0,0
1395,1,1,1
1401,0,1,1
1410,1,1,1
1429,1,1,1
1430,1,1,1
1437,0,0,0
1439,0,1,1
1440,0,0,0
1448,0,1,0
1454,0,0,0
1457,0,1,1
1460,1,1,1
1474,0,1,1
1475,0,0,0
1476,1,1,1
1481,0,0,0
1501,0,0,0
1505,0,0,0
1506,1,1,1
1508,1,1,1
1512,1,0,1
1517,0,0,0
1522,0,0,0
1529,0,0,0
1536,0,0,0
1548,0,0,0
1549,0,0,0
1552,0,0,0
1560,0,0,0
1575,0,0,0
1585,0,0,0
1602,0,0,0
1619,0,0,0
1665,0,0,0
1673,0,0,0
1684,0,0,0
1686,0,0,0
1691,0,0,0
1694,1,1,1
1713,0,0,0
